,Model Name,Total Time,GPU Util Time,Knowledge & Reading Avg. Rank,Knowledge & Reading Mean Score
1,01-ai_Yi-1.5-9B,11h 43m,10h 26m,1,0.4369
2,openchat_openchat-3.6-8b-20240522,7h 51m,6h 59m,2,0.4136
3,meta-llama_Llama-3.1-8B-Instruct,12h 19m,10h 52m,3,0.4127
4,01-ai_Yi-1.5-6B,4h 28m,3h 54m,4,0.4063
5,mistralai_Mistral-7B-Instruct-v0.3,8h 38m,7h 41m,5,0.4045
6,Qwen_Qwen2.5-7B-Instruct-1M,11h 17m,10h 10m,6,0.3963
7,Qwen_Qwen3-14B (8bit),29h 45m,17h 29m,7,0.3926
8,meta-llama_Meta-Llama-3-8B-Instruct,6h 30m,5h 46m,8,0.3923
9,Qwen_Qwen2.5-7B-Instruct,9h 36m,8h 33m,9,0.381
10,google_gemma-3-12b-it,15h 45m,14h 8m,10,0.3791
11,NousResearch_Hermes-2-Pro-Mistral-7B,8h 27m,7h 28m,11,0.3719
12,mistralai_Ministral-8B-Instruct-2410,10h 46m,9h 27m,12,0.3683
13,Qwen_Qwen2.5-14B-Instruct (8bit),52h 44m,29h 32m,13,0.3581
14,Qwen_Qwen3-8B,15h 31m,13h 44m,14,0.3566
15,01-ai_Yi-1.5-9B-Chat,13h 54m,12h 15m,15,0.3467
16,meta-llama_Llama-3.2-3B-Instruct,7h 12m,5h 57m,16,0.3438
17,Qwen_Qwen2.5-3B-Instruct,7h 48m,6h 30m,17,0.3406
18,meta-llama_Llama-2-13b-hf,19h 21m,17h 38m,18,0.3374
19,01-ai_Yi-1.5-6B-Chat,8h 4m,7h 1m,19,0.3339
20,google_gemma-3-4b-it,4h 51m,3h 50m,20,0.3261
21,Qwen_Qwen3-4B,5h 51m,5h 3m,21,0.3226
22,meta-llama_Llama-2-7b-hf,5h 42m,4h 59m,22,0.3018
23,deepseek-ai_deepseek-llm-7b-chat,10h 6m,9h 8m,23,0.3007
24,Qwen_Qwen2-7B-Instruct,11h 30m,10h 11m,24,0.2919
25,Qwen_Qwen2.5-1.5B-Instruct,3h 20m,2h 36m,25,0.2903
26,meta-llama_Llama-2-13b-chat-hf,17h 8m,15h 37m,26,0.2864
27,deepseek-ai_deepseek-llm-7b-base,7h 11m,6h 26m,27,0.2864
28,deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,17h 57m,15h 30m,28,0.2834
29,Qwen_Qwen2.5-Math-7B,27h 21m,24h 38m,29,0.2827
30,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,11h 46m,10h 36m,30,0.2805
31,meta-llama_Llama-3.2-1B-Instruct,3h 30m,2h 35m,31,0.2731
32,meta-llama_Llama-2-7b-chat-hf,6h 57m,6h 7m,32,0.2656
33,deepseek-ai_deepseek-math-7b-rl,8h 2m,7h 12m,33,0.2581
34,Qwen_Qwen3-1.7B,4h 25m,3h 36m,34,0.2567
35,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,6h 28m,5h 43m,35,0.234
36,Qwen_Qwen2.5-Math-7B-Instruct,5h 37m,4h 57m,36,0.2276
37,Qwen_Qwen2.5-0.5B-Instruct,2h 34m,1h 48m,37,0.2218
38,google_gemma-3-1b-it,6h 50m,4h 52m,38,0.2202
39,Qwen_Qwen3-0.6B,3h 45m,2h 53m,39,0.2
40,Qwen_Qwen2.5-Math-1.5B-Instruct,3h 25m,2h 39m,40,0.1983
41,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B,3h 40m,2h 52m,41,0.1954
